2019	5	14	17	21	56	14.4
2020	4	5	15	12	36	9
2020	4	4	13	6	71	5.5
2020	3	3	3	56	1	7.4
2020	3	19	17	26	12	11.1
2019	7	5	1	21	31	16
2019	11	26	22	37	190	3.2
2019	9	7	16	16	177	20.5
2020	1	19	7	47	179	1
2020	3	16	10	31	96	7.1
2020	1	14	19	41	77	-3.2
2019	9	21	21	1	128	15.8
2019	12	6	11	36	17	7.9
2019	9	18	22	12	68	12.6
2020	2	1	11	11	123	5.7
2020	3	16	4	37	126	-2.7
2019	12	18	19	21	122	5.6
2019	7	4	1	6	103	14.8
2019	12	20	20	41	200	6.3
2020	1	4	8	56	93	3.4
2020	4	10	22	47	114	8.5
2019	5	20	8	16	29	12
2019	11	11	0	22	93	6.8
2019	7	20	17	16	177	22.9
2019	7	1	22	26	61	16.2
2019	10	5	7	12	24	10.1
2019	8	22	22	41	37	12.6
2020	4	26	23	1	169	8.2
2020	4	14	23	22	123	9.6
2019	8	5	1	42	143	20.5
2019	6	5	20	11	199	13
2019	9	28	23	7	33	11.6
2019	6	13	11	31	35	19.5
2020	4	24	9	12	138	8.9
2020	2	21	18	56	122	6.4
2020	4	23	14	31	181	13.2
2019	7	2	21	57	163	15.6
2020	1	13	18	51	143	-4.9
2020	3	8	6	52	169	-1.4
2019	10	4	6	17	181	8.8
2019	8	12	5	56	7	14.4
2019	11	16	15	51	80	10.2
2019	9	30	18	11	199	12.6
2020	2	12	22	12	59	5.2
2019	11	19	17	52	217	7.1
2019	9	9	11	26	89	18.7
2020	4	26	19	22	80	12.8
2019	8	15	15	7	168	18.4
2019	12	4	17	52	18	7.5
2020	1	24	6	41	12	8.2
2020	1	1	7	52	21	9.7
2019	9	4	12	27	62	20.4
2019	5	8	18	16	167	19
2019	8	3	21	17	22	19.7
2019	9	7	12	22	75	16.1
2019	8	21	10	31	13	16.7
2019	10	10	18	17	98	10.7
2019	12	22	7	51	61	6.3
2019	10	12	6	36	111	8.4
2019	8	28	13	46	169	25.5
2019	10	13	4	42	122	9.2
2020	1	12	11	17	197	3.8
2019	10	11	17	46	84	10
2020	4	9	7	17	66	1.9
2020	3	26	0	26	167	4.8
2019	11	1	15	41	73	12.6
2019	5	29	10	52	120	15.9
2019	8	27	22	42	15	19
2019	5	26	0	2	93	11.2
2020	4	14	1	47	59	7.1
2020	3	10	9	51	139	5.8
2019	9	9	12	17	85	17.1
2019	8	30	17	11	188	20.3
2020	1	15	0	46	22	-4.3
2020	4	2	7	27	110	3.8
2019	5	27	1	46	18	13.8
2019	11	14	9	36	168	13.3
2019	8	16	3	37	80	14.6
2019	11	6	0	52	226	6.9
2020	4	15	22	7	208	11.9
2019	5	15	5	17	19	9.7
2019	10	8	6	2	192	4.8
2019	7	6	15	26	206	18.3
2019	5	27	2	57	218	13.7
2019	8	22	1	51	227	13.3
2020	3	25	3	37	205	3.7
2019	8	15	16	21	206	24.4
2020	2	23	16	51	228	7.5
2020	3	17	22	26	39	3.2
2019	7	2	11	26	210	17.5
2019	9	20	23	7	17	11.4
2019	10	7	11	6	226	11.3
2019	5	11	13	57	131	18.8
2020	2	26	6	42	96	3.6
2019	5	20	13	46	112	11.7
2020	1	11	20	37	26	4.6
2019	7	3	5	36	122	12.7
2019	5	9	12	31	40	24.7
2019	5	12	11	57	166	16.8
2019	8	31	0	31	139	17.9
2019	7	27	8	16	5	18.4
2019	8	22	9	21	208	15.9
